Customer,Standard,Destination,POS Receive Date,POS Delivery Date,Time Differences,Model/Type,Modification,Other,Receive Year,Delivery Year
I&K,SNI,KOREA,2016-06-06,2016-06-07,1 days 00:00:00.000000000,KIT,no,10,2016,2016
I&K,ECE,KOREA,2016-06-06,2016-06-07,1 days 00:00:00.000000000,KIT,no,10,2016,2016
I&K,ECE,KOREA,2016-06-06,2016-06-07,1 days 00:00:00.000000000,KIT,no,10,2016,2016
I&K,ECE,KOREA,2016-06-06,2016-06-07,1 days 00:00:00.000000000,KIT,no,10,2016,2016
I&K,ECE,KOREA,2016-06-06,2016-06-07,1 days 00:00:00.000000000,KIT,no,10,2016,2016
I&K,SNI,KOREA,2016-06-06,2016-06-07,1 days 00:00:00.000000000,ACCESSORIES,no,10,2016,2016
I&K,SNI,KOREA,2016-09-13,2016-09-23,10 days 00:00:00.000000000,KIT,no,10,2016,2016
I&K,SNI,KOREA,2016-09-13,2016-09-23,10 days 00:00:00.000000000,ACCESSORIES,no,10,2016,2016
I&K,SNI,KOREA,2016-11-11,2016-11-18,7 days 00:00:00.000000000,KIT,no,10,2016,2016
I&K,SNI,KOREA,2017-05-16,2017-05-17,1 days 00:00:00.000000000,KYT VENOM FULL FACE,no,10,2017,2017
I&K,SNI,KOREA,2017-08-31,2017-09-01,1 days 00:00:00.000000000,SR SPORT,no,10,2017,2017
I&K,SNI,KOREA,2017-08-31,2017-09-01,1 days 00:00:00.000000000,APEX,no,10,2017,2017
I&K,SNI,KOREA,2017-08-31,2017-09-01,1 days 00:00:00.000000000,APEX,no,10,2017,2017
I&K,ECE,KOREA,2016-11-11,2016-11-18,7 days 00:00:00.000000000,KIT,no,12,2016,2016
I&K,SNI,KOREA,2017-05-16,2017-05-17,1 days 00:00:00.000000000,KYT,no,12,2017,2017
I&K,SNI,KOREA,2016-06-06,2016-06-07,1 days 00:00:00.000000000,KIT,no,20,2016,2016
I&K,SNI,KOREA,2017-02-21,2017-02-22,1 days 00:00:00.000000000,KYT VENOM (K2 RYDER),yes,20,2017,2017
I&K,SNI,KOREA,2017-05-16,2017-05-17,1 days 00:00:00.000000000,KYT VENOM FULL FACE,no,20,2017,2017
I&K,SNI,KOREA,2017-08-31,2017-09-01,1 days 00:00:00.000000000,APEX,no,20,2017,2017
I&K,SNI,KOREA,2017-08-31,2017-09-01,1 days 00:00:00.000000000,APEX,no,20,2017,2017
I&K,SNI,KOREA,2017-08-31,2017-09-01,1 days 00:00:00.000000000,APEX,no,20,2017,2017
