"Customer","POS NO","PO NO","Standard","Destination","POS Receive Date","POS Delivery Date","Model/Type","Description","XXS","XS (48)","XS/S","S(50)","M(52)","L(54)","XL(56)","XXL","3XL","4XL","S/M","L/XL","Other"
"INFINITE SERV","87","HA-12 REV2","SNI","PHILIPPINES","Wednesday, 06 June 2018","30 June 2018","KYT VENDETTA2","THITIPONG REPLICA 2015","","","","","24","24","6","","","","","",""
"INFINITE SERV","118","HA-13 REV2","SNI","PHILIPPINES","Monday, 23 July 2018","30 July 2018","KYT VENDETTA2","SIMONE CORSI REPLICA","","","","","24","24","6","","","","","",""
"INFINITE SERV","149","HA-14 REV1","SNI","PHILIPPINES","Monday, 23 July 2018","30 August 2018","KYT VENDETTA2","TOPAN REPLICA","","","","6","18","18","12","","","","","",""
"INFINITE SERV","161 ","HA-15","SNI","PHILIPPINES","Monday, 23 July 2018","30 August 2018","KYT RC SEVEN","#2 WHITE/BLACK/RED FLUO","","","","","18","21","15","","","","","",""
"INFINITE SERV","161 ","HA-15","SNI","PHILIPPINES","Monday, 23 July 2018","30 August 2018","KYT RC SEVEN","EDT #1 AQUA BLUE/RED FLUO/WHITE","","","","","18","21","15","","","","","",""
"INFINITE SERV","87","HA-12 REV2","SNI","PHILIPPINES","Wednesday, 06 June 2018","30 June 2018","KYT NFR","ENERGY GREEN/BLUE","","","","6","18","18","6","","","","","",""
"INFINITE SERV","87","HA-12 REV2","SNI","PHILIPPINES","Wednesday, 06 June 2018","30 June 2018","KYT RC SEVEN","ITALY WHITE","","","","","18","24","6","","","","","",""
"INFINITE SERV","87","HA-12 REV2","SNI","PHILIPPINES","Wednesday, 06 June 2018","30 June 2018","KYT RC SEVEN","SPAIN BLACK","","","","","18","24","6","","","","","",""
"INFINITE SERV","87","HA-12 REV2","SNI","PHILIPPINES","Wednesday, 06 June 2018","30 June 2018","KYT R-10","#3 BLACK/WHITE/RED FLUO","","","","6","18","18","6","","","","","",""
"INFINITE SERV","87","HA-12 REV2","SNI","PHILIPPINES","Wednesday, 06 June 2018","30 June 2018","KYT R-10","#2 WHITE/BLACK/RED FLUO","","","","6","18","18","6","","","","","",""
"INFINITE SERV","87","HA-12 REV2","SNI","PHILIPPINES","Wednesday, 06 June 2018","30 June 2018","KYT K2 RIDER","LUCA MARCONI REPLICA","","","","6","18","18","6","","","","","",""
"INFINITE SERV","87","HA-12 REV2","SNI","PHILIPPINES","Wednesday, 06 June 2018","30 June 2018","KYT VENOM OPEN","ANDI GILANG REPLICA","","","","6","18","18","6","","","","","",""
"INFINITE SERV","87","HA-12 REV2","SNI","PHILIPPINES","Wednesday, 06 June 2018","30 June 2018","KYT VENOM OPEN","LUCA MARCONI REPLICA","","","","6","18","18","6","","","","","",""
"INFINITE SERV","87","HA-12 REV2","SNI","PHILIPPINES","Wednesday, 06 June 2018","30 June 2018","KYT VENOM OPEN","THITIPONG REPLICA 2016","","","","6","18","18","6","","","","","",""
"INFINITE SERV","87","HA-12 REV2","SNI","PHILIPPINES","Wednesday, 06 June 2018","30 June 2018","KYT VENOM OPEN","ANDREA LOCATELLI REPLICA 2016","","","","6","18","18","6","","","","","",""
"INFINITE SERV","118","HA-13 REV2","SNI","PHILIPPINES","Monday, 23 July 2018","30 July 2018","KYT NFR","LIGHTNING WHITE","","","","6","18","18","6","","","","","",""
"INFINITE SERV","118","HA-13 REV2","SNI","PHILIPPINES","Monday, 23 July 2018","30 July 2018","KYT RC SEVEN","ITALY WHITE","","","","6","18","18","6","","","","","",""
"INFINITE SERV","118","HA-13 REV2","SNI","PHILIPPINES","Monday, 23 July 2018","30 July 2018","KYT RC SEVEN","SPAIN BLACK","","","","6","18","18","6","","","","","",""
"INFINITE SERV","118","HA-13 REV2","SNI","PHILIPPINES","Monday, 23 July 2018","30 July 2018","KYT R-10","#3 BLACK/WHITE/RED FLUO","","","","6","18","18","6","","","","","",""
"INFINITE SERV","118","HA-13 REV2","SNI","PHILIPPINES","Monday, 23 July 2018","30 July 2018","KYT R-10","#2 WHITE/BLACK/RED FLUO","","","","6","18","18","6","","","","","",""
"INFINITE SERV","118","HA-13 REV2","SNI","PHILIPPINES","Monday, 23 July 2018","30 July 2018","KYT R-10","ANDI GILANG REPLICA","","","","6","18","18","6","","","","","",""
