Customer,Standard,Destination,POS Receive Date,POS Delivery Date,Time Differences,Model/Type,Modification,XXS,XS (48),XS/S,S(50),M(52),L(54),XL(56),XXL,3XL,4XL,S/M,L/XL,Other,Total Helmet,Receive Year,Delivery Year
AMR INDUSTRY,ECE,THAILAND,2018-09-26,2018-11-01,36,KYT VENOM OPEN FACE,no,0,0,0,3,6,6,3,0,0,0,0,0,0,18,2018,2018
AMR INDUSTRY,ECE,THAILAND,2018-10-16,2018-11-16,31,K RACING KR 1,no,0,0,0,0,8,5,5,0,0,0,0,0,0,18,2018,2018
AMR INDUSTRY,ECE,THAILAND,2018-03-26,2018-04-01,6,KYT NFR,no,0,0,0,3,12,0,0,0,0,0,0,0,0,15,2018,2018
AMR INDUSTRY,ECE,THAILAND,2018-03-26,2018-04-01,6,KYT NFR,no,0,0,0,3,12,0,0,0,0,0,0,0,0,15,2018,2018
AMR INDUSTRY,ECE,THAILAND,2018-03-26,2018-04-01,6,KYT FALCON,no,0,0,0,3,6,6,0,0,0,0,0,0,0,15,2018,2018
AMR INDUSTRY,ECE,THAILAND,2018-03-26,2018-04-01,6,KYT VENOM FULL FACE,no,0,0,0,3,6,6,0,0,0,0,0,0,0,15,2018,2018
AMR INDUSTRY,ECE,THAILAND,2017-02-16,2017-02-17,1,K RACING,no,0,0,0,5,5,2,0,0,0,0,0,0,0,12,2017,2017
AMR INDUSTRY,ECE,THAILAND,2018-09-26,2018-11-01,36,KYT KYOTO,no,0,0,0,0,3,3,3,3,0,0,0,0,0,12,2018,2018
AMR INDUSTRY,ECE,THAILAND,2018-08-07,2018-09-01,25,KYT NFR,no,0,0,0,2,2,2,2,2,0,0,0,0,0,10,2018,2018
AMR INDUSTRY,ECE,THAILAND,2018-08-07,2018-09-01,25,KYT NFR,no,0,0,0,2,2,2,2,2,0,0,0,0,0,10,2018,2018
AMR INDUSTRY,ECE,THAILAND,2018-08-07,2018-09-01,25,KYT NFR,no,0,0,0,2,2,2,2,2,0,0,0,0,0,10,2018,2018
